DATE,MODEL,IC,T
2009-11-01,LinearRegression,0.3252589691141382,8.792061668235554e-31
2009-12-01,AdaBoost,0.3115139813781297,5.6672133478346645e-34
2009-12-01,CTEF,0.2502840467342236,5.730879276400608e-18
2009-12-01,DecisionTree,0.3136599856278015,1.2715202276420067e-78
2009-12-01,LinearRegression,0.21678649785355514,9.967796955048229e-14
2010-01-01,AdaBoost,0.29215152254183185,2.1036141308972714e-24
2010-01-01,CTEF,0.33217585457454885,4.0782244403872845e-31
2010-01-01,DecisionTree,0.31405438850392753,3.4971527044042666e-79
2010-01-01,LinearRegression,0.3284062467547001,2.1898377579322307e-30
2010-02-01,AdaBoost,0.2990132123188789,5.252018868664625e-26
2010-02-01,CTEF,0.3344390188852164,3.3176292486431187e-32
2010-02-01,DecisionTree,0.3077171042561533,3.887926214720622e-77
2010-02-01,LinearRegression,0.24578368687981242,1.4832097902552898e-17
2010-03-01,AdaBoost,0.43291326759982257,1.4970389998545625e-59
2010-03-01,CTEF,0.2793222264456716,6.40619361385832e-23
2010-03-01,DecisionTree,0.30476009892481626,1.2575137953345353e-77
2010-03-01,LinearRegression,0.37218035383178066,4.872985437176402e-41
2010-04-01,AdaBoost,0.407536783581754,8.798982963460555e-50
2010-04-01,CTEF,0.22884358401835178,1.9102148362238387e-15
2010-04-01,DecisionTree,0.41223384888845754,3.444461709089267e-52
2010-04-01,LinearRegression,0.34085553806496616,1.126120191648201e-33
2010-05-01,AdaBoost,0.13567165499872208,2.9247568727965e-06
2010-05-01,CTEF,0.36587962027353205,1.4872364092259258e-38
2010-05-01,DecisionTree,0.1859340725412063,2.5549015496358685e-12
2010-05-01,LinearRegression,0.30765668128044604,4.985713437335026e-27
2010-06-01,AdaBoost,0.11046802650609114,0.00012044997423063568
2010-06-01,CTEF,0.29703156916529466,2.870306997427795e-25
2010-06-01,DecisionTree,0.3096869096283003,1.3629784266740314e-78
2010-06-01,LinearRegression,0.37676045973894196,4.513675690027935e-41
2010-07-01,AdaBoost,0.36216604948005626,5.672225231875124e-40
2010-07-01,CTEF,0.3394363405586694,2.053383031978266e-33
2010-07-01,DecisionTree,0.3044306632383197,6.259324815787948e-77
2010-07-01,LinearRegression,0.29561206410890156,2.893160685668886e-25
2010-08-01,AdaBoost,0.32031365553988095,2.5051525780876588e-33
2010-08-01,CTEF,0.26696696395425135,3.286970699583005e-21
2010-08-01,DecisionTree,0.32158620326754034,1.9870369530941432e-51
2010-08-01,LinearRegression,0.35093817734389887,1.1250276350952069e-36
2010-09-01,AdaBoost,0.19523673004639344,4.863129667830734e-12
2010-09-01,CTEF,0.3722856556076937,1.7505101608027695e-40
2010-09-01,DecisionTree,0.3157549860011993,7.867667335372368e-82
2010-09-01,LinearRegression,0.17940786377930323,5.917365089208591e-10
2010-10-01,AdaBoost,0.28459787137540193,7.169607339119642e-26
2010-10-01,CTEF,0.36935921367318064,2.7563726938939436e-40
2010-10-01,DecisionTree,0.3084693598690853,2.139512757835307e-78
2010-10-01,LinearRegression,0.25199915948041796,9.769873346220884e-19
2010-11-01,AdaBoost,0.42061874902149554,1.3989719333394717e-56
2010-11-01,CTEF,0.32272693441314226,2.0153703054160247e-30
2010-11-01,DecisionTree,0.31180810260478226,3.755688704006187e-80
2010-11-01,LinearRegression,0.28138508995829253,3.794069458641279e-23
